title,salary,experience,address,url,parsed_at,query
Куратор/тьютор обучения,"до 70 000 ₽ за месяц, на руки",Без опыта,Москва Павелецкая,https://hh.ru/vacancy/128969104?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель ИЗО (начальная школа),"97 000 – 104 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,"деревня Веледниково, Живописная улица, 136к1",https://hh.ru/vacancy/128522496?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель на курс по музыке (Онлайн-курсы),,Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128758997?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов,"от 140 000 ₽ за месяц, на руки",Опыт 3-6 лет,деревня Борзые,https://hh.ru/vacancy/128679420?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Senior методист/Педагогический дизайнер,"от 160 000 ₽ за месяц, на руки",Опыт 3-6 лет,"Москва, р-н Аэропорт",https://hh.ru/vacancy/128695374?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель на курс по истории и обществознанию (Онлайн-курсы),,Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128420062?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог-психолог,"70 000 – 130 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Кусково,https://hh.ru/vacancy/128198724?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по математике(1-4 и 5-8) в онлайн-школу,"до 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/129003194?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Менеджер онлайн-школы по искусственному интеллекту,"от 20 000 ₽ за месяц, на руки",Без опыта,Москва Библиотека им.Ленина,https://hh.ru/vacancy/129199536?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по математике/физике,"70 000 – 115 000 ₽ за месяц, на руки",Без опыта,Москва Библиотека им.Ленина,https://hh.ru/vacancy/129215455?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель-Дефектолог,"1 500 ₽ за час, на руки",Опыт более 6 лет,Москва Матвеевское,https://hh.ru/vacancy/128576319?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель математики/информатики для 8-11 классов,"от 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/129204647?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по русскому языку в онлайн-школу,"50 000 – 90 000 ₽ за месяц, на руки",Без опыта,Москва Александровский сад,https://hh.ru/vacancy/129200098?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по химии ОГЭ/ЕГЭ (готовая программа),"до 120 000 ₽ за месяц, на руки",Без опыта,Москва,https://hh.ru/vacancy/128384635?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель по математике в онлайн-школу,"от 120 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128832354?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог групп мама плюс малыш,"37 000 – 50 000 ₽ за месяц, на руки",Без опыта,"поселение Сосенское, Скандинавский бульвар, 9",https://hh.ru/vacancy/129212125?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Тьютор учеников на курсе по математике в онлайн-школу 5-8 класс,"30 000 – 70 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128777138?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель русского языка (ЕГЭ/ОГЭ),"70 000 – 100 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/129191853?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель по школьным предметам на онлайн-платформе,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128958440?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор/преподаватель по английскому/обществознанию в онлайн-школу (готовые материалы),"до 92 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128243501?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Тьютор на онлайн-курс по русскому языку (средняя и старшая школа),"35 000 – 75 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128758909?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель математики в средней школе,"1 150 – 1 250 ₽ за час, до вычета налогов",Опыт 1-3 года,Москва Киевская,https://hh.ru/vacancy/129214130?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по Математике (Готовая программа),"60 000 – 100 000 ₽ за месяц, на руки",Без опыта,Москва,https://hh.ru/vacancy/127780824?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор/тьютор/преподаватель школьных предметов,"до 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Курская,https://hh.ru/vacancy/129185292?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов (м.Октябрьское поле),"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Октябрьское поле,https://hh.ru/vacancy/128746017?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель/Учитель английского языка в онлайн-школу,"25 000 – 50 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Библиотека им.Ленина,https://hh.ru/vacancy/129192551?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель Математики,"от 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128544167?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Музыкальный руководитель в частный детский сад,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Спортивная,https://hh.ru/vacancy/128698462?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов,"от 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва Парк культуры,https://hh.ru/vacancy/128239734?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель пробных уроков в онлайн-школу программирования,,Без опыта,Москва,https://hh.ru/vacancy/129204624?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель математики в среднюю школу,"90 000 – 110 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Ломоносовский проспект,https://hh.ru/vacancy/128874553?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Наставник по литературе (проверка заданий),,Без опыта,Москва,https://hh.ru/vacancy/128747849?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель/учитель/репетитор по математике для школьников,"70 000 – 130 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128633405?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Куратор/воспитатель (начальная школа),"от 116 000 ₽ за месяц, до вычета налогов",Опыт более 6 лет,"деревня Веледниково, Живописная улица, 136к1",https://hh.ru/vacancy/128658043?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Администратор в детский сад,"80 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Кленовый бульвар,https://hh.ru/vacancy/128623437?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Руководитель учебной части,"от 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,"Москва, р-н Красносельский",https://hh.ru/vacancy/128284106?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог по скорочтению в онлайн школу,"25 000 – 60 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/129212229?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
"Преподаватель русского языка / EdTech-учитель (Групповые занятия, 1-11 классы)","60 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Библиотека им.Ленина,https://hh.ru/vacancy/129171701?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель истории и обществознания,"от 140 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Ботанический сад,https://hh.ru/vacancy/129157554?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Куратор образовательных услуг,"69 600 ₽ за месяц, на руки",Опыт 1-3 года,Москва Верхние Котлы,https://hh.ru/vacancy/128839608?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель английского языка,"130 000 – 200 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/128323451?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель математики в онлайн школу,"80 000 – 150 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128761354?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель русского языка и литературы,"80 500 – 114 900 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Бибирево,https://hh.ru/vacancy/128698317?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Руководитель трека педагогика и EdTech,,Опыт 3-6 лет,деревня Сколково Баковка,https://hh.ru/vacancy/128698305?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Менеджер продаж по работе с образовательными учреждениями,"110 000 – 200 000 ₽ за месяц, на руки",Без опыта,"Москва, р-н Басманный",https://hh.ru/vacancy/129195933?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог дополнительного образования,,Опыт 1-3 года,Москва Измайловская,https://hh.ru/vacancy/128582788?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель информатики и технологии,"70 000 – 120 000 ₽ за месяц, до вычета налогов",Без опыта,Москва Бибирево,https://hh.ru/vacancy/128698580?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по биологии (Начинающий),"60 000 – 100 000 ₽ за месяц, на руки",Без опыта,Москва,https://hh.ru/vacancy/129218051?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог группы продленного дня,"45 000 – 70 000 ₽ за месяц, до вычета налогов",Без опыта,посёлок Коммунарка Бунинская аллея,https://hh.ru/vacancy/128581241?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Методист в детский сад,"120 000 – 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва Давыдково,https://hh.ru/vacancy/128321479?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Помощник специалиста развивающих занятий,"30 000 – 60 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Новогиреево,https://hh.ru/vacancy/128763337?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Методист семейных классов,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва Медведково,https://hh.ru/vacancy/129218850?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель русского языка для 9–11 классов (частично подготовка к ЕГЭ/ОГЭ) в онлайн-школе,"20 000 – 60 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/129207473?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель русского языка,"до 154 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Охотный ряд,https://hh.ru/vacancy/129156882?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов,"от 90 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Коломенская,https://hh.ru/vacancy/128673545?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
